Em,IDSessao,Pedido,IP,Pageviews
10/11/2012 23:58:00,920773906,,"200.163.3.18",11
10/11/2012 23:44:00,920767828,,"200.163.3.18",187
10/11/2012 23:43:00,920767467,,"200.163.3.18",0
10/11/2012 22:12:00,920724476,,"157.55.32.111",1
10/11/2012 19:49:00,920655915,,"201.68.32.92",2
10/11/2012 18:05:00,920606139,,"189.69.13.48",1
10/11/2012 16:58:00,920575578,,"177.68.172.47",3
10/11/2012 15:40:00,920536466,,"187.38.84.244",5
10/11/2012 15:25:00,920527590,,"65.55.24.245",1
10/11/2012 15:01:00,920513692,,"74.125.183.19",3
10/11/2012 14:57:00,920511392,,"201.55.128.226",3
10/11/2012 12:02:00,920434011,,"189.27.64.190",2
10/11/2012 11:35:00,920421843,,"189.59.43.17",1
10/11/2012 10:50:00,920397715,,"189.75.34.144",1
10/11/2012 10:37:00,920390331,,"65.55.24.216",1
10/11/2012 08:42:00,920328896,,"189.62.180.64",1
10/11/2012 03:00:00,920235045,,"65.55.24.245",1
10/11/2012 00:49:00,920195969,,"189.113.26.54",8
09/11/2012 23:40:00,920170567,,"74.125.178.150",1
09/11/2012 23:12:00,920159039,,"157.55.34.166",1
09/11/2012 23:10:00,920157884,,"189.75.34.144",1
09/11/2012 23:09:00,920157509,,"189.75.34.144",1
09/11/2012 23:09:00,920157482,,"189.75.34.144",4
09/11/2012 20:07:00,920081416,,"157.55.35.91",1
09/11/2012 20:03:00,920079559,,"65.55.52.86",1
09/11/2012 20:01:00,920078857,,"65.55.52.86",1
09/11/2012 19:56:00,920077039,,"65.55.52.86",1
09/11/2012 19:50:00,920074601,,"186.213.232.124",1
09/11/2012 19:42:00,920071618,,"157.55.32.100",1
09/11/2012 19:42:00,920071521,,"157.55.32.100",1
09/11/2012 19:39:00,920070146,,"157.56.229.187",1
09/11/2012 19:30:00,920066618,,"157.56.229.187",1
09/11/2012 19:27:00,920065508,,"157.56.229.23",1
09/11/2012 19:24:00,920064340,,"157.55.35.44",1
09/11/2012 19:24:00,920064282,,"157.55.35.44",1
09/11/2012 19:24:00,920064220,,"157.55.35.44",1
09/11/2012 19:24:00,920064170,,"157.55.35.44",1
09/11/2012 18:13:00,920039492,,"157.56.229.187",1
09/11/2012 18:10:00,920038347,,"189.27.1.2",27
09/11/2012 18:10:00,920038264,,"189.27.1.2",1
09/11/2012 17:15:00,920015293,,"189.13.217.160",1
09/11/2012 16:45:00,920002412,,"157.55.116.30",1
09/11/2012 16:43:00,920001496,,"157.55.32.111",1
09/11/2012 16:42:00,920001130,,"157.56.229.187",1
09/11/2012 16:37:00,919999109,,"157.56.229.187",1
09/11/2012 16:34:00,919997596,,"65.55.52.86",1
09/11/2012 16:22:00,919991781,,"157.55.36.52",1
09/11/2012 16:22:00,919991686,,"157.55.36.52",1
09/11/2012 16:12:00,919987102,,"157.55.32.100",1
09/11/2012 16:11:00,919986678,,"157.55.32.111",1
09/11/2012 16:10:00,919986047,,"157.55.32.100",1
09/11/2012 16:09:00,919985972,,"157.55.32.100",1
09/11/2012 16:08:00,919985505,,"157.56.229.187",1
09/11/2012 16:01:00,919981813,,"157.55.34.166",1
09/11/2012 15:50:00,919975932,,"157.55.34.166",1
09/11/2012 15:48:00,919974694,,"65.55.52.86",1
09/11/2012 15:47:00,919974457,,"65.55.52.86",1
09/11/2012 15:47:00,919974422,,"65.55.52.86",1
09/11/2012 15:47:00,919974184,,"65.55.52.86",1
09/11/2012 15:46:00,919973896,,"157.55.32.100",1
09/11/2012 15:46:00,919973598,,"65.55.52.86",1
09/11/2012 15:46:00,919973516,,"65.55.52.86",1
09/11/2012 15:39:00,919970649,,"157.55.35.91",1
09/11/2012 15:39:00,919970555,,"157.55.35.91",1
09/11/2012 15:39:00,919970501,,"157.55.35.91",1
09/11/2012 15:39:00,919970403,,"157.55.35.91",1
09/11/2012 15:33:00,919967431,,"157.55.35.38",1
09/11/2012 15:30:00,919966001,,"157.56.229.23",1
09/11/2012 15:30:00,919965890,,"157.56.229.23",1
09/11/2012 15:30:00,919965811,,"157.56.229.23",1
09/11/2012 15:01:00,919953155,,"74.125.183.28",3
09/11/2012 10:45:00,919836712,,"201.22.160.222",1
09/11/2012 10:26:00,919828131,,"200.129.242.29",1
09/11/2012 06:38:00,919755360,,"65.55.52.86",1
09/11/2012 04:58:00,919738432,,"65.55.52.86",1
09/11/2012 03:56:00,919727854,,"157.55.32.100",1
09/11/2012 01:58:00,919709575,,"177.194.147.188",1
09/11/2012 01:40:00,919705933,,"74.125.178.86",1
09/11/2012 00:54:00,919695643,,"177.43.74.211",3
08/11/2012 23:44:00,919675825,,"157.55.34.166",1
08/11/2012 23:31:00,919672015,,"177.38.242.68",1
08/11/2012 23:30:00,919671443,,"201.11.186.5",1
08/11/2012 20:46:00,919604573,,"189.83.66.253",1
08/11/2012 20:02:00,919586475,,"177.180.149.190",1
08/11/2012 17:48:00,919536650,,"157.55.35.44",1
08/11/2012 17:11:00,919521460,,"157.55.35.44",1
08/11/2012 15:56:00,919484348,,"157.56.229.187",1
08/11/2012 15:47:00,919478614,,"186.204.192.244",39
08/11/2012 15:42:00,919475308,,"66.249.75.184",1
08/11/2012 15:42:00,919475141,,"157.55.35.38",1
08/11/2012 15:40:00,919474091,,"66.249.75.193",1
08/11/2012 15:37:00,919472328,,"157.55.35.44",1
08/11/2012 15:33:00,919469356,,"157.55.35.44",1
08/11/2012 15:33:00,919469196,,"157.55.35.44",1
08/11/2012 15:30:00,919467473,,"66.249.75.197",1
