NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm
"Alimentos",2503684,"","Mel pote",350,"CAV
Bom Sem Base
Turmaina-MG","CAV
Bom Sem Base
Turmaina-MG",10,0,False,0,0,4.5,0
"Artesanatos",3327599,"","Caixinha papel para 3 sabonetes",100,"Caixinha papel para 3 sabonetes
AMTR – Associação das Mulheres Trabalhadoras Rurais de Lago do Junco e Lago dos Rodrigues
Lago do Junco-MA
Sabonete de óleo de babaçu – Babaçu Livre","Caixinha papel para 3 sabonetes
AMTR – Associação das Mulheres Trabalhadoras Rurais de Lago do Junco e Lago dos Rodrigues
Lago do Junco-MA
Sabonete de óleo de babaçu – Babaçu Livre",0,0,False,0,0,5,0
"Bebidas",2517407,"","Cachaça 700ml",1000,"Cooperativa Agroextrativista Grande Sertão
Sede em Montes Claros – MG, porém com atuação em toda região do Norte de MG.","Cooperativa Agroextrativista Grande Sertão
Sede em Montes Claros – MG, porém com atuação em toda região do Norte de MG.
Polpas de fruta congelada: araçá, cajá, coquinho azedo, mangaba, maracujá nativo, panã/araticum, seriguela, tamarindo, acerola, abacaxi, goiaba, manga e maracujá. Pequi congelado, óleo de pequi, polpa de pequi em conserva, rapadurinha, açúcar mascavo, mel (apis), arroz de pilão, farinha de mandioca",0,0,False,0,0,7,0
"Bebidas",5182935,"","Licor de Abacaxi - 250ml",1000,"Licor de Abacaxi - 250ml
Produzido pela Cooperativa Babaçu Livre
Comunidade Santana
São Luis Gonzaga - MA","Licor de Abacaxi - 250ml
Produzido pela Cooperativa Babaçu Livre
Comunidade Santana
São Luis Gonzaga - MA",0,0,False,0,0,20,0
"Bebidas",5182933,"","Licor de Jenipapo - 250ml",400,"Licor de Jenipapo - 250ml
Produzido pela Cooperativa Babaçu Livre
Comunidade Santana
São Luis Gonzaga - MA","Licor de Jenipapo - 250ml
Produzido pela Cooperativa Babaçu Livre
Comunidade Santana
São Luis Gonzaga - MA",0,0,True,0,0,20,0
"Brindes",2506089,"","Bolsas personalizadas",200,"CEPPEC – Centro de Produção, Pesquisa e Capacitação do Cerrado
Nioaque – MS","CEPPEC – Centro de Produção, Pesquisa e Capacitação do Cerrado
Nioaque – MS
Tecelagem de algodão, lã e anafaia com tingimento natural e fibras e vegetais – Bolsas femininas, Bolas/pastas promocionais para eventos, capa para pastas, mantas, cachecol, jogos americano, tapetes, saias, chapéu/gorros, etc.
Castanha de baru, farinha de jatobá e pequi",0,0,True,0,0,5,0
"Capim dourado",2466569,"","Balaio de Capim Dourado",300,"Associação Capim Dourado de Mumbuca
Região do Jalapão, Mateiros-TO, Comunidade de Mumbuca","Associação Capim Dourado de Mumbuca
Região do Jalapão, Mateiros-TO, Comunidade de Mumbuca",0,0,False,0,0,65,0
"Capim dourado",3398577,"BjBI","BjBI",290,"Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)","Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)",0,0,True,0,0,80,0
"Capim dourado",3398572,"BjRIB","BjRIB",180,"Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)","Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)",0,1,True,0,0,70,0
"Capim dourado",3398749,"BjRIB_2","BjRIB_2",160,"Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)","Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)",0,0,True,0,0,50,0
"Capim dourado",3398767,"BoAD","BoAD",240,"Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)","Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)",0,0,True,0,0,70,0
"Capim dourado",3398751,"CAT_05","CAT_05 (18cm diâmetro)",280,"Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)","Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)",0,0,True,0,0,60,0
"Capim dourado",3398758,"CAT_05b","CAT_05b",230,"Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)","Região do Jalapão - TO
Artesanatos em Capim Dourado (Bolsas, chapéus, bandejas, cestas, etc)",0,0,True,0,0,80,0
